dataset,model,repeat,slope,intercept
BC,LR,0,1.1004159021289721,0.051041406568876034
BC,LR,1,1.1191167993196423,0.014904001594472801
BC,LR,2,1.1120242887404852,0.10823129156822628
BC,LR,3,1.165155141424719,0.04633541843980207
BC,LR,4,1.1575786547369384,0.11136178711477679
BC,RF,0,1.1873451479135062,-0.0416924923665833
BC,RF,1,1.1856232373982876,-0.021611484482897174
BC,RF,2,1.2043980210098857,-0.03450599473796787
BC,RF,3,1.2109411806030168,-0.05356967339397627
BC,RF,4,1.3800539958399256,-0.042697384345624985
BC,XGB,0,0.7283885152760984,0.1302633117510089
BC,XGB,1,0.8212495107391041,0.2939194433444581
BC,XGB,2,0.7751743833658331,0.38480708921732976
BC,XGB,3,0.8217405712705853,0.29125690095118634
BC,XGB,4,0.8404579633844252,0.4431461511789241
BC,SVM,0,1.1313771096827343,-0.06587918417163513
BC,SVM,1,1.153838668557863,-0.030087033210659173
BC,SVM,2,1.1667308515243562,-0.06362135949404252
BC,SVM,3,1.1582601899446072,-0.026422402864947066
BC,SVM,4,1.161752159734794,-0.0660793944850176
BC,MLP,0,0.4938821437948537,0.8243287013738113
BC,MLP,1,0.5114684598163379,0.8323320096297997
BC,MLP,2,0.49074570413716007,0.5905449685302047
BC,MLP,3,0.5205409729242687,0.7746363906105193
BC,MLP,4,0.48961307704883067,1.1463729596794678
BC,NB,0,0.2565103479838745,3.273613480606012
BC,NB,1,0.259123897691364,3.3973756007369027
BC,NB,2,0.2595208192801223,3.379771530873489
BC,NB,3,0.2587946055532071,3.5360077163568517
BC,NB,4,0.25584921958719975,3.4450985323537986
PIMA,LR,0,0.9400868608892694,-0.005058789936108112
PIMA,LR,1,0.9354625895155319,-0.0009418607038319572
PIMA,LR,2,0.9638190107207248,-0.0055751399784973316
PIMA,LR,3,0.9311975944834986,0.002860687489573459
PIMA,LR,4,0.9602160666364067,-0.0008659637376243617
PIMA,RF,0,0.868044619821777,-0.030707750771715465
PIMA,RF,1,0.9718727824761039,-0.04034344507986817
