dataset,model,fold,config,n_train,n_test,best_params,ACC,BAL,F1,AUC,MCC,BRIER
BC,LR,0,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.004946731093426845
BC,LR,0,tuned,512,57,{'clf__C': 0.1},1.0,1.0,1.0,1.0,1.0,0.011555183751714519
BC,LR,1,default,512,57,,0.9649122807017544,0.9545454545454546,0.9523809523809523,0.9987012987012986,0.9273353546322172,0.031685257787598106
BC,LR,1,tuned,512,57,{'clf__C': 0.1},0.9824561403508771,0.9772727272727273,0.9767441860465116,0.9948051948051948,0.9633432944855655,0.031201551368929183
BC,LR,2,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.0019739933643551973
BC,LR,2,tuned,512,57,{'clf__C': 0.1},1.0,1.0,1.0,1.0,1.0,0.007829218430551354
BC,LR,3,default,512,57,,0.9824561403508771,0.9861111111111112,0.9767441860465116,1.0,0.9633432944855655,0.013280289984383051
BC,LR,3,tuned,512,57,{'clf__C': 0.1},0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,0.962621902223779,0.016205178261979283
BC,LR,4,default,512,57,,0.9824561403508771,0.9861111111111112,0.9767441860465116,1.0,0.9633432944855655,0.008193955145895927
BC,LR,4,tuned,512,57,{'clf__C': 0.1},1.0,1.0,1.0,1.0,1.0,0.010583021591514202
BC,LR,5,default,512,57,,0.9122807017543859,0.9107142857142857,0.8837209302325582,0.9788359788359788,0.8139267835041308,0.05561073525096522
BC,LR,5,tuned,512,57,{'clf__C': 1},0.9122807017543859,0.9107142857142857,0.8837209302325582,0.9788359788359788,0.8139267835041308,0.05561073525096522
BC,LR,6,default,512,57,,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9761904761904762,0.9246031746031746,0.0227578272326153
BC,LR,6,tuned,512,57,{'clf__C': 1},0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9761904761904762,0.9246031746031746,0.0227578272326153
BC,LR,7,default,512,57,,0.9473684210526315,0.9384920634920635,0.926829268292683,0.996031746031746,0.8864143349643965,0.036561874427617255
BC,LR,7,tuned,512,57,{'clf__C': 1},0.9473684210526315,0.9384920634920635,0.926829268292683,0.996031746031746,0.8864143349643965,0.036561874427617255
BC,LR,8,default,512,57,,0.9824561403508771,0.9861111111111112,0.9767441860465116,1.0,0.9633432944855655,0.006549566164150366
BC,LR,8,tuned,512,57,{'clf__C': 0.1},0.9824561403508771,0.9861111111111112,0.9767441860465116,1.0,0.9633432944855655,0.012728107115906792
BC,LR,9,default,513,56,,1.0,1.0,1.0,1.0,1.0,0.0061788128746151725
BC,LR,9,tuned,513,56,{'clf__C': 1},1.0,1.0,1.0,1.0,1.0,0.0061788128746151725
BC,RF,0,default,512,57,,0.9824561403508771,0.9857142857142858,0.9777777777777777,1.0,0.9639463400956773,0.012436842105263158
BC,RF,0,tuned,512,57,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.9824561403508771,0.9857142857142858,0.9777777777777777,1.0,0.9639463400956773,0.01365271254088957
BC,RF,1,default,512,57,,0.9649122807017544,0.9629870129870131,0.9545454545454546,0.9662337662337662,0.925974025974026,0.039254385964912285
BC,RF,1,tuned,512,57,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.9649122807017544,0.9629870129870131,0.9545454545454546,0.9753246753246754,0.925974025974026,0.03671047602457541
BC,RF,2,default,512,57,,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9993386243386244,0.962621902223779,0.01843333333333333
BC,RF,2,tuned,512,57,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,0.962621902223779,0.017880116959064333
BC,RF,3,default,512,57,,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9993386243386243,0.962621902223779,0.016928070175438598
BC,RF,3,tuned,512,57,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.9824561403508771,0.9761904761904762,0.975609756097561,0.9973544973544973,0.962621902223779,0.018193802202494235
BC,RF,4,default,512,57,,0.9649122807017544,0.9722222222222222,0.9545454545454546,0.9986772486772487,0.9286112429750731,0.022142105263157894
BC,RF,4,tuned,512,57,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.9649122807017544,0.9722222222222222,0.9545454545454546,0.9986772486772486,0.9286112429750731,0.022998440545808966
BC,RF,5,default,512,57,,0.8421052631578947,0.8551587301587302,0.8085106382978723,0.9576719576719576,0.6879325629409012,0.08620701754385965
BC,RF,5,tuned,512,57,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.8421052631578947,0.8551587301587302,0.8085106382978723,0.951058201058201,0.6879325629409012,0.08834236665701643
BC,RF,6,default,512,57,,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9781746031746031,0.9246031746031746,0.04062456140350877
BC,RF,6,tuned,512,57,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9801587301587301,0.9246031746031746,0.042157832627896054
BC,RF,7,default,512,57,,0.9649122807017544,0.9523809523809523,0.95,0.996031746031746,0.9258200997725514,0.03555263157894737
BC,RF,7,tuned,512,57,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.9473684210526315,0.9285714285714286,0.9230769230769231,0.9947089947089947,0.8894991799933214,0.03844068659302577
BC,RF,8,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.006421052631578947
BC,RF,8,tuned,512,57,"{'clf__max_depth': None, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}",1.0,1.0,1.0,1.0,1.0,0.006421052631578947
BC,RF,9,default,513,56,,0.9642857142857143,0.9714285714285714,0.9545454545454546,0.9959183673469387,0.9278305692406299,0.02415
BC,RF,9,tuned,513,56,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.9642857142857143,0.9714285714285714,0.9545454545454546,1.0,0.9278305692406299,0.020469779770971114
BC,XGB,0,default,512,57,,0.9824561403508771,0.9857142857142858,0.9777777777777777,1.0,0.9639463400956773,0.008692745119333267
BC,XGB,0,tuned,512,57,"{'clf__learning_rate': 0.3, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.9824561403508771,0.9857142857142858,0.9777777777777777,1.0,0.9639463400956773,0.005022781435400248
BC,XGB,1,default,512,57,,0.9824561403508771,0.9772727272727273,0.9767441860465116,0.990909090909091,0.9633432944855655,0.022171538323163986
BC,XGB,1,tuned,512,57,"{'clf__learning_rate': 0.03, 'clf__max_depth': 6, 'clf__n_estimators': 100}",0.9649122807017544,0.9629870129870131,0.9545454545454546,0.9766233766233766,0.925974025974026,0.040247607976198196
BC,XGB,2,default,512,57,,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9986772486772486,0.962621902223779,0.01762300357222557
BC,XGB,2,tuned,512,57,"{'clf__learning_rate': 0.3, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9973544973544973,0.9246031746031746,0.02287144772708416
BC,XGB,3,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.005632271058857441
BC,XGB,3,tuned,512,57,"{'clf__learning_rate': 0.3, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,0.962621902223779,0.0098585719242692
BC,XGB,4,default,512,57,,0.9649122807017544,0.9722222222222222,0.9545454545454546,1.0,0.9286112429750731,0.010414926335215569
BC,XGB,4,tuned,512,57,"{'clf__learning_rate': 0.3, 'clf__max_depth': 6, 'clf__n_estimators': 100}",0.9649122807017544,0.9722222222222222,0.9545454545454546,1.0,0.9286112429750731,0.010414926335215569
BC,XGB,5,default,512,57,,0.9122807017543859,0.9107142857142857,0.8837209302325582,0.9695767195767195,0.8139267835041308,0.07209198921918869
BC,XGB,5,tuned,512,57,"{'clf__learning_rate': 0.3, 'clf__max_depth': 6, 'clf__n_estimators': 100}",0.9122807017543859,0.9107142857142857,0.8837209302325582,0.9695767195767195,0.8139267835041308,0.07209198921918869
BC,XGB,6,default,512,57,,0.9473684210526315,0.9484126984126984,0.9302325581395349,0.9841269841269842,0.8886350389948482,0.03154216706752777
BC,XGB,6,tuned,512,57,"{'clf__learning_rate': 0.3, 'clf__max_depth': 3, 'clf__n_estimators': 300}",0.9473684210526315,0.9484126984126984,0.9302325581395349,0.9801587301587302,0.8886350389948482,0.03477585315704346
BC,XGB,7,default,512,57,,0.9473684210526315,0.9285714285714286,0.9230769230769231,0.9894179894179895,0.8894991799933214,0.04181241616606712
BC,XGB,7,tuned,512,57,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 300}",0.9649122807017544,0.9523809523809523,0.95,0.9947089947089947,0.9258200997725514,0.03398497402667999
BC,XGB,8,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.002383709419518709
BC,XGB,8,tuned,512,57,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 300}",0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,0.962621902223779,0.011707223951816559
BC,XGB,9,default,513,56,,0.9821428571428571,0.9857142857142858,0.9767441860465116,0.998639455782313,0.9629500128629354,0.012698397971689701
BC,XGB,9,tuned,513,56,"{'clf__learning_rate': 0.3, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.9642857142857143,0.9619047619047618,0.9523809523809523,0.9972789115646258,0.9238095238095239,0.01688099466264248
BC,SVM,0,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.0026050108576561783
BC,SVM,0,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,0.0034038666652271305
BC,SVM,1,default,512,57,,0.9473684210526315,0.9487012987012987,0.9333333333333333,0.9922077922077923,0.8904905361044291,0.03277469228683238
BC,SVM,1,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9473684210526315,0.9402597402597402,0.9302325581395349,0.9974025974025974,0.8886350389948482,0.030071253486907243
BC,SVM,2,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.0021618500995043257
BC,SVM,2,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,0.00301316527517661
BC,SVM,3,default,512,57,,0.9649122807017544,0.9722222222222222,0.9545454545454546,1.0,0.9286112429750731,0.01705368179115757
BC,SVM,3,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9649122807017544,0.9722222222222222,0.9545454545454546,1.0,0.9286112429750731,0.008057552699629583
BC,SVM,4,default,512,57,,0.9824561403508771,0.9861111111111112,0.9767441860465116,1.0,0.9633432944855655,0.005299646414134449
BC,SVM,4,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9824561403508771,0.9861111111111112,0.9767441860465116,1.0,0.9633432944855655,0.008102933878249414
BC,SVM,5,default,512,57,,0.8596491228070176,0.8591269841269842,0.8181818181818182,0.9708994708994709,0.7062127520104547,0.06561286131089189
BC,SVM,5,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9122807017543859,0.9107142857142857,0.8837209302325582,0.9854497354497355,0.8139267835041308,0.05066247102016364
BC,SVM,6,default,512,57,,0.9473684210526315,0.9484126984126984,0.9302325581395349,0.9828042328042328,0.8886350389948482,0.032049317236232715
BC,SVM,6,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9761904761904762,0.9246031746031746,0.023024276104843464
BC,SVM,7,default,512,57,,0.9649122807017544,0.9523809523809523,0.95,0.992063492063492,0.9258200997725514,0.03347147208708394
BC,SVM,7,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9649122807017544,0.9523809523809523,0.95,0.996031746031746,0.9258200997725514,0.0264590000375901
BC,SVM,8,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.0024859684661492033
BC,SVM,8,tuned,512,57,"{'clf__C': 10, 'clf__gamma': 0.01}",1.0,1.0,1.0,1.0,1.0,0.0033216938454806054
BC,SVM,9,default,513,56,,0.9821428571428571,0.9857142857142858,0.9767441860465116,1.0,0.9629500128629354,0.011734777924855258
BC,SVM,9,tuned,513,56,"{'clf__C': 10, 'clf__gamma': 0.01}",0.9821428571428571,0.9857142857142858,0.9767441860465116,1.0,0.9629500128629354,0.008839463203960651
BC,MLP,0,default,512,57,,0.9824561403508771,0.9857142857142858,0.9777777777777777,0.9987012987012986,0.9639463400956773,0.011697832547824177
BC,MLP,0,tuned,512,57,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (64, 32)}",1.0,1.0,1.0,1.0,1.0,0.008292725746938156
BC,MLP,1,default,512,57,,0.9473684210526315,0.9402597402597402,0.9302325581395349,0.9935064935064934,0.8886350389948482,0.05689599009602519
BC,MLP,1,tuned,512,57,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (64, 32)}",0.9473684210526315,0.9402597402597402,0.9302325581395349,0.996103896103896,0.8886350389948482,0.04117419022102375
BC,MLP,2,default,512,57,,1.0,1.0,1.0,1.0,1.0,7.719565725591051e-05
BC,MLP,2,tuned,512,57,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",1.0,1.0,1.0,1.0,1.0,0.0018500335251769588
BC,MLP,3,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.00028625068951260407
BC,MLP,3,tuned,512,57,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (64, 32)}",0.9824561403508771,0.9861111111111112,0.9767441860465116,0.9973544973544973,0.9633432944855655,0.016641430902199647
BC,MLP,4,default,512,57,,1.0,1.0,1.0,1.0,1.0,0.0005629245418070008
BC,MLP,4,tuned,512,57,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (16,)}",1.0,1.0,1.0,1.0,1.0,0.006089895994245287
BC,MLP,5,default,512,57,,0.9298245614035088,0.9246031746031746,0.9047619047619048,0.9722222222222223,0.8492063492063492,0.057264702279659026
BC,MLP,5,tuned,512,57,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",0.9122807017543859,0.9107142857142857,0.8837209302325582,0.9761904761904762,0.8139267835041308,0.05983743936057862
BC,MLP,6,default,512,57,,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9748677248677249,0.9246031746031746,0.029927886552132524
BC,MLP,6,tuned,512,57,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64, 32)}",0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9748677248677249,0.9246031746031746,0.029927886552132524
BC,MLP,7,default,512,57,,0.9473684210526315,0.9285714285714286,0.9230769230769231,0.9907407407407408,0.8894991799933214,0.05110001558143645
BC,MLP,7,tuned,512,57,"{'clf__alpha': 0.0001, 'clf__hidden_layer_sizes': (64, 32)}",0.9473684210526315,0.9285714285714286,0.9230769230769231,0.9907407407407408,0.8894991799933214,0.05110001558143645
BC,MLP,8,default,512,57,,1.0,1.0,1.0,1.0,1.0,2.6448062182733566e-05
BC,MLP,8,tuned,512,57,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}",1.0,1.0,1.0,1.0,1.0,0.003878971636846153
BC,MLP,9,default,513,56,,0.9821428571428571,0.9761904761904762,0.975609756097561,1.0,0.9622504486493763,0.012206595199168726
BC,MLP,9,tuned,513,56,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (16,)}",1.0,1.0,1.0,1.0,1.0,0.004142812551585396
BC,NB,0,default,512,57,,0.9649122807017544,0.9629870129870131,0.9545454545454546,0.9974025974025974,0.925974025974026,0.0319171326187034
BC,NB,0,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9649122807017544,0.9629870129870131,0.9545454545454546,0.9974025974025974,0.925974025974026,0.0319171326187034
BC,NB,1,default,512,57,,0.9298245614035088,0.9175324675324675,0.9047619047619048,0.9831168831168832,0.851823761469308,0.07339132638244517
BC,NB,1,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9298245614035088,0.9175324675324675,0.9047619047619048,0.9831168831168832,0.851823761469308,0.07339132638244517
BC,NB,2,default,512,57,,0.9824561403508771,0.9761904761904762,0.975609756097561,0.9973544973544973,0.962621902223779,0.019917807126573484
BC,NB,2,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9824561403508771,0.9761904761904762,0.975609756097561,0.9973544973544973,0.962621902223779,0.019917807126573484
BC,NB,3,default,512,57,,0.9649122807017544,0.9722222222222222,0.9545454545454546,0.9781746031746031,0.9286112429750731,0.039647524196054926
BC,NB,3,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9649122807017544,0.9722222222222222,0.9545454545454546,0.9781746031746031,0.9286112429750731,0.039647524196054926
BC,NB,4,default,512,57,,0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9947089947089947,0.9246031746031746,0.03491729475051988
BC,NB,4,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9649122807017544,0.9623015873015872,0.9523809523809523,0.9947089947089947,0.9246031746031746,0.03491729475051988
BC,NB,5,default,512,57,,0.7894736842105263,0.7738095238095238,0.7142857142857143,0.9193121693121693,0.5476190476190477,0.1712328753464926
BC,NB,5,tuned,512,57,{'clf__var_smoothing': 1e-11},0.7719298245614035,0.7599206349206349,0.6976744186046512,0.9153439153439153,0.5150937615412615,0.18898961183913532
BC,NB,6,default,512,57,,0.9298245614035088,0.9047619047619048,0.8947368421052632,0.9828042328042328,0.8535639569308375,0.06948410562205923
BC,NB,6,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9298245614035088,0.9047619047619048,0.8947368421052632,0.9828042328042328,0.8535639569308375,0.06948410562205923
BC,NB,7,default,512,57,,0.9298245614035088,0.9146825396825397,0.9,0.9894179894179895,0.8486684247915055,0.058604104609945286
BC,NB,7,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9298245614035088,0.9146825396825397,0.9,0.9894179894179895,0.8486684247915055,0.058604104609945286
BC,NB,8,default,512,57,,0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,0.962621902223779,0.02374830543530211
BC,NB,8,tuned,512,57,{'clf__var_smoothing': 1e-09},0.9824561403508771,0.9761904761904762,0.975609756097561,1.0,0.962621902223779,0.02374830543530211
BC,NB,9,default,513,56,,0.9642857142857143,0.9619047619047618,0.9523809523809523,0.9809523809523809,0.9238095238095239,0.03567621654098468
BC,NB,9,tuned,513,56,{'clf__var_smoothing': 1e-09},0.9642857142857143,0.9619047619047618,0.9523809523809523,0.9809523809523809,0.9238095238095239,0.03567621654098468
PIMA,LR,0,default,691,77,,0.7662337662337663,0.7603703703703704,0.6896551724137931,0.8459259259259259,0.5066740688254677,0.15967881613690504
PIMA,LR,0,tuned,691,77,{'clf__C': 0.1},0.7662337662337663,0.7603703703703704,0.6896551724137931,0.8496296296296296,0.5066740688254677,0.15868356547338855
PIMA,LR,1,default,691,77,,0.7532467532467533,0.7503703703703704,0.6779661016949152,0.8274074074074074,0.4848401374141137,0.15300907323897692
PIMA,LR,1,tuned,691,77,{'clf__C': 0.1},0.7402597402597403,0.7318518518518519,0.6551724137931034,0.8274074074074074,0.4511777625672017,0.15514496329631325
PIMA,LR,2,default,691,77,,0.7922077922077922,0.7718518518518518,0.7037037037037037,0.8659259259259259,0.5437037037037037,0.14411815616134577
PIMA,LR,2,tuned,691,77,{'clf__C': 0.1},0.7662337662337663,0.7518518518518519,0.6785714285714286,0.8629629629629629,0.49604652413672967,0.14623474514015566
PIMA,LR,3,default,691,77,,0.7792207792207793,0.778888888888889,0.711864406779661,0.8799999999999999,0.5400660110544787,0.14085033301295177
PIMA,LR,3,tuned,691,77,{'clf__C': 1},0.7792207792207793,0.778888888888889,0.711864406779661,0.8799999999999999,0.5400660110544787,0.14085033301295177
PIMA,LR,4,default,691,77,,0.7012987012987013,0.6592592592592592,0.5490196078431373,0.7481481481481482,0.32813912498853487,0.19092803833105843
PIMA,LR,4,tuned,691,77,{'clf__C': 100},0.7012987012987013,0.6592592592592592,0.5490196078431373,0.7474074074074074,0.32813912498853487,0.19126852463233457
PIMA,LR,5,default,691,77,,0.7402597402597403,0.7403703703703703,0.6666666666666666,0.8037037037037037,0.46354777877784786,0.16845726661849014
PIMA,LR,5,tuned,691,77,{'clf__C': 0.1},0.7402597402597403,0.7403703703703703,0.6666666666666666,0.8081481481481482,0.46354777877784786,0.16889515381695133
PIMA,LR,6,default,691,77,,0.7662337662337663,0.7603703703703704,0.6896551724137931,0.8777777777777778,0.5066740688254677,0.13364252288632755
PIMA,LR,6,tuned,691,77,{'clf__C': 0.1},0.7662337662337663,0.7603703703703704,0.6896551724137931,0.8837037037037037,0.5066740688254677,0.13380341600136395
PIMA,LR,7,default,691,77,,0.7272727272727273,0.7388888888888889,0.6666666666666666,0.8325925925925926,0.4569299776953924,0.17292952503332631
PIMA,LR,7,tuned,691,77,{'clf__C': 0.1},0.7402597402597403,0.7488888888888889,0.6774193548387096,0.8288888888888888,0.4770278351999552,0.17046771134694713
PIMA,LR,8,default,692,76,,0.7631578947368421,0.7738461538461539,0.7,0.8476923076923077,0.5225696870130913,0.1523310110095228
PIMA,LR,8,tuned,692,76,{'clf__C': 0.1},0.7763157894736842,0.7838461538461539,0.711864406779661,0.8438461538461539,0.5433672862863087,0.15000697097440302
PIMA,LR,9,default,692,76,,0.8157894736842105,0.7861538461538462,0.72,0.8761538461538462,0.5841090925098348,0.1365996596804807
PIMA,LR,9,tuned,692,76,{'clf__C': 0.1},0.8157894736842105,0.7953846153846154,0.7307692307692307,0.8784615384615384,0.5907692307692308,0.13671658046964455
PIMA,RF,0,default,691,77,,0.7792207792207793,0.7959259259259259,0.7301587301587301,0.8414814814814814,0.5660264374862303,0.15414545454545453
PIMA,RF,0,tuned,691,77,"{'clf__max_depth': 10, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 100}",0.8181818181818182,0.825925925925926,0.7666666666666667,0.834074074074074,0.628539361054709,0.15675506642293305
PIMA,RF,1,default,691,77,,0.6883116883116883,0.6748148148148148,0.5862068965517241,0.7862962962962963,0.3401851500506696,0.17678441558441554
PIMA,RF,1,tuned,691,77,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7272727272727273,0.7388888888888889,0.6666666666666666,0.7992592592592593,0.4569299776953924,0.16656426037724348
PIMA,RF,2,default,691,77,,0.8051948051948052,0.8159259259259259,0.7540983606557377,0.907037037037037,0.6071674212673529,0.12405714285714287
PIMA,RF,2,tuned,691,77,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.8181818181818182,0.8344444444444444,0.7741935483870968,0.9111111111111111,0.6410061535499397,0.12933340925074824
PIMA,RF,3,default,691,77,,0.8051948051948052,0.8244444444444444,0.7619047619047619,0.8725925925925926,0.6205746673816492,0.13684415584415588
PIMA,RF,3,tuned,691,77,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7792207792207793,0.7959259259259259,0.7301587301587301,0.8851851851851852,0.5660264374862303,0.1373025583946619
PIMA,RF,4,default,691,77,,0.7272727272727273,0.7133333333333334,0.631578947368421,0.747037037037037,0.417489966754203,0.19956363636363636
PIMA,RF,4,tuned,691,77,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7012987012987013,0.6762962962962963,0.5818181818181818,0.7540740740740741,0.349754259914075,0.19380975633453337
PIMA,RF,5,default,691,77,,0.7012987012987013,0.7103703703703703,0.6349206349206349,0.7581481481481482,0.4023817477999735,0.18667272727272727
PIMA,RF,5,tuned,691,77,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7402597402597403,0.7318518518518519,0.6551724137931034,0.7888888888888889,0.4511777625672017,0.17684426944609347
PIMA,RF,6,default,691,77,,0.8051948051948052,0.8329629629629629,0.7692307692307693,0.8985185185185186,0.6355777799058047,0.12731558441558438
PIMA,RF,6,tuned,691,77,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.8181818181818182,0.8429629629629629,0.78125,0.9037037037037037,0.6551085155660604,0.1367640914686869
PIMA,RF,7,default,691,77,,0.6883116883116883,0.7174074074074074,0.6470588235294118,0.81,0.4158417006313106,0.16947922077922078
PIMA,RF,7,tuned,691,77,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 300}",0.7142857142857143,0.7544444444444445,0.6857142857142857,0.8251851851851851,0.4890082279140345,0.16408587387588058
PIMA,RF,8,default,692,76,,0.6973684210526315,0.7330769230769231,0.6567164179104478,0.8211538461538461,0.4436852564688467,0.16135131578947368
PIMA,RF,8,tuned,692,76,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7368421052631579,0.7815384615384615,0.7058823529411765,0.8430769230769231,0.5372486108055937,0.15703301430706434
PIMA,RF,9,default,692,76,,0.7763157894736842,0.7838461538461539,0.711864406779661,0.8253846153846154,0.5433672862863087,0.16067499999999998
PIMA,RF,9,tuned,692,76,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}",0.7236842105263158,0.7161538461538461,0.631578947368421,0.8369230769230769,0.41732801112835244,0.154800818968544
PIMA,XGB,0,default,691,77,,0.7402597402597403,0.6977777777777778,0.6,0.8103703703703704,0.4123951744684367,0.19482992589473724
PIMA,XGB,0,tuned,691,77,"{'clf__learning_rate': 0.1, 'clf__max_depth': 2, 'clf__n_estimators': 100}",0.7922077922077922,0.788888888888889,0.7241379310344828,0.8555555555555556,0.5621703750837337,0.15318486094474792
PIMA,XGB,1,default,691,77,,0.6753246753246753,0.6562962962962963,0.5614035087719298,0.7614814814814814,0.3058693853650585,0.2138885110616684
PIMA,XGB,1,tuned,691,77,"{'clf__learning_rate': 0.03, 'clf__max_depth': 3, 'clf__n_estimators': 100}",0.7272727272727273,0.7388888888888889,0.6666666666666666,0.8018518518518518,0.4569299776953924,0.16558973491191864
PIMA,XGB,2,default,691,77,,0.8441558441558441,0.8288888888888889,0.7777777777777778,0.8755555555555555,0.6577777777777778,0.12546344101428986
