config,a,b,p_left,p_rope,p_right,delta0_mean
default,LR,RF,0.166,0.29375,0.54025,0.012408551563286097
default,LR,XGB,0.17225,0.1175,0.71025,0.033459336270792096
default,LR,SVM,0.2435,0.17725,0.57925,0.022893907708726978
default,LR,MLP,0.196,0.06475,0.73925,0.06146321082482873
default,LR,NB,0.0745,0.126,0.7995,0.023394365258947065
default,RF,XGB,0.1625,0.2165,0.621,0.015992747431598266
default,RF,SVM,0.259,0.25875,0.48225,0.008781140487242194
default,RF,MLP,0.1875,0.082,0.7305,0.04532203089215395
default,RF,NB,0.1775,0.4325,0.39,0.0049407663147603776
default,XGB,SVM,0.39925,0.2915,0.30925,-0.0034614225230696237
default,XGB,MLP,0.19925,0.164,0.63675,0.026430632491032634
default,XGB,NB,0.4515,0.26575,0.28275,-0.007758938992758372
default,SVM,MLP,0.21725,0.10275,0.68,0.0321195789265079
default,SVM,NB,0.38825,0.2105,0.40125,-0.002033646680466734
default,MLP,NB,0.66425,0.09325,0.2425,-0.040839347257601306
tuned,LR,RF,0.138,0.66975,0.19225,0.0009165544220752455
tuned,LR,XGB,0.18,0.57025,0.24975,0.0015104384889765856
tuned,LR,SVM,0.2895,0.20475,0.50575,0.013964206129215798
tuned,LR,MLP,0.13575,0.59225,0.272,0.004485810434831577
tuned,LR,NB,0.05075,0.167,0.78225,0.020085838416009007
tuned,RF,XGB,0.13875,0.68625,0.175,0.0009403570231885517
tuned,RF,SVM,0.3245,0.1305,0.545,0.015542519035293387
tuned,RF,MLP,0.22325,0.3985,0.37825,0.004510171854121468
tuned,RF,NB,0.09825,0.22925,0.6725,0.016821990544129493
tuned,XGB,SVM,0.34525,0.16475,0.49,0.011731370266512555
tuned,XGB,MLP,0.18675,0.574,0.23925,0.0020793914381607922
tuned,XGB,NB,0.1265,0.19825,0.67525,0.016636666225433777
tuned,SVM,MLP,0.483,0.16875,0.34825,-0.009240303693720066
tuned,SVM,NB,0.38725,0.17525,0.4375,-0.003341584230695293
tuned,MLP,NB,0.138,0.26875,0.59325,0.013867712377520153
