dataset,model,AUC_default,AUC_default_sd,AUC_tuned,AUC_tuned_sd,MCC_tuned,BRIER_tuned,BRIER_default,best_params_mode
BC,LR,0.99497594997595,0.009308491308988672,0.9945863395863395,0.009216320461801673,0.9514252784266611,0.02112115103064078,0.0187739043325622,{'clf__C': 0.1}
BC,RF,0.9891384937813509,0.015858673597866028,0.9897282347282348,0.016260035515618103,0.917364090027036,0.030526726655332036,0.030214999999999936,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}"
BC,XGB,0.9931347488490345,0.010024615363346156,0.9915701229986945,0.011534913100181543,0.9220570034176563,0.025785637041553795,0.022506316425278734,"{'clf__learning_rate': 0.3, 'clf__max_depth': 2, 'clf__n_estimators': 100}"
BC,SVM,0.9937974987974988,0.009896866239228773,0.9955074555074555,0.008159980951459273,0.9407889647198278,0.016495567621722808,0.02052492784744974,"{'clf__C': 10, 'clf__gamma': 0.01}"
BC,MLP,0.993003848003848,0.010767032489853234,0.9935257335257335,0.009929057275432248,0.948000747158104,0.022293540207216238,0.022004584120700405,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}"
BC,NB,0.9823244348244348,0.023475478059049856,0.9819276094276095,0.02466250485576283,0.8697391676542269,0.05762934291217231,0.05585366926290804,{'clf__var_smoothing': 1e-09}
PIMA,LR,0.8405327635327635,0.04091385453024628,0.841045584045584,0.04147710262605792,0.4903489691431223,0.15520719641644531,0.1552544402109385,{'clf__C': 0.1}
PIMA,RF,0.8267649572649572,0.054697047015339485,0.8381481481481481,0.05060885739900695,0.5192127317681589,0.1573293118846389,0.15968886534518106,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
PIMA,XGB,0.8046723646723646,0.0495779670622492,0.8338660968660969,0.05437685823412177,0.5110600470511989,0.15634050145745276,0.19542262405157088,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 300}"
PIMA,SVM,0.8282735042735043,0.0495734467776369,0.8400854700854701,0.046911677028267276,0.4887001679458375,0.15707119412866136,0.16234804966484145,"{'clf__C': 10, 'clf__gamma': 0.01}"
PIMA,MLP,0.7506980056980057,0.051339198663657756,0.8448062678062678,0.046304803659869845,0.5119211953600712,0.1527108558639189,0.25965400252769677,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}"
PIMA,NB,0.8173561253561253,0.04951554347600191,0.8121139601139602,0.04789939845844576,0.4191692671990389,0.18632616176231392,0.18300569881905598,{'clf__var_smoothing': 1e-07}
HEART,LR,0.9051409987071752,0.06325527204179701,0.9103446186166776,0.05696977436850983,0.668486579110073,0.13456685175585678,0.12267897004173364,{'clf__C': 0.01}
HEART,RF,0.9047844618616677,0.05908330699366744,0.9112132352941176,0.05734170828673444,0.6763096344125128,0.1255895639576465,0.12605181720430103,"{'clf__max_depth': None, 'clf__min_samples_leaf': 5, 'clf__n_estimators': 300}"
HEART,XGB,0.872105284421461,0.053628745792766906,0.8939227133160955,0.05217746522232534,0.6486417067038939,0.129605907946825,0.15720473229885096,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 100}"
HEART,SVM,0.8955336942469294,0.06386128777620213,0.9065065449256625,0.05768048366610881,0.6605194873895129,0.12434784077472241,0.13553484297446783,"{'clf__C': 0.1, 'clf__gamma': 0.01}"
HEART,MLP,0.856860051712993,0.04159785300664513,0.8834639625080802,0.05176917976437746,0.6231436711006202,0.13885498856001185,0.1853187814212173,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}"
HEART,NB,0.879288542340013,0.07339597617738997,0.8978385585003231,0.06389254924287997,0.6418769801139079,0.14669946724873487,0.1539312763647463,{'clf__var_smoothing': 1e-05}
D130,LR,0.6338912381555358,0.02096387110730162,0.6350342526992586,0.021453383812571267,0.11448384431056831,0.08005262213272027,0.08016324580233715,{'clf__C': 0.01}
D130,RF,0.5942682581276607,0.02540587796006568,0.6393331998618571,0.02802729327787789,0.11300705237916428,0.08015819827086901,0.08298119999999996,"{'clf__max_depth': 5, 'clf__min_samples_leaf': 1, 'clf__n_estimators': 100}"
D130,XGB,0.5684645543928342,0.022860416331922123,0.6412854265833767,0.02738240930281884,0.11636595386960635,0.0800702035427093,0.08677117377519605,"{'clf__learning_rate': 0.03, 'clf__max_depth': 2, 'clf__n_estimators': 100}"
D130,SVM,0.5404410097864878,0.038005729998460004,0.5555514689610448,0.03842631170001025,0.04798962592570567,0.08145570419128847,0.08146153105889394,"{'clf__C': 0.1, 'clf__gamma': 0.1}"
D130,MLP,0.5193715980077677,0.03044309853929255,0.6306922930997476,0.019586731657417294,0.10451108693412539,0.08028553129670815,0.142308905523918,"{'clf__alpha': 1.0, 'clf__hidden_layer_sizes': (32,)}"
D130,NB,0.5970975092788879,0.023257739158718337,0.6158924591416974,0.020502593469763727,0.09665202991298447,0.09176570271291491,0.12947325438781992,{'clf__var_smoothing': 0.001}
