dataset,model,ACC,BAL,F1,AUC,MCC,BRIER,ACC_sd,BAL_sd,F1_sd,AUC_sd,MCC_sd,BRIER_sd,slope,slope_sd,intercept,intercept_sd
BC,LR,0.9726065162907268,0.9717691197691198,0.9634311355505711,0.9947340067340066,0.9423052285239034,0.019698080439009776,0.01913862309313048,0.020541464739810337,0.025680368758882428,0.007293383327894918,0.040579838230524655,0.01113996438513581,1.1308581572701515,0.028764444612084175,0.06637478105723074,0.04201704342286456
BC,RF,0.9606516290726818,0.9613910533910535,0.9482950221634124,0.9902525939668796,0.9181196843839103,0.03153692857142853,0.023133830641514072,0.023786274021785906,0.029842180125894256,0.012700570999947213,0.047494868983365524,0.01335032274595276,1.2336723165529242,0.0825472675407104,-0.03881540586540986,0.01178539062952089
BC,XGB,0.9673496240601505,0.9653867243867245,0.9564019188603887,0.9933797842369271,0.9317015443987446,0.023762247201520904,0.02481086839437476,0.026316089997014284,0.032638878821880976,0.008338647484541332,0.05082260875887715,0.016338649300717868,0.7974021888072091,0.04547475623271517,0.30867857928858145,0.11856478458470326
BC,SVM,0.9673182957393484,0.968171717171717,0.9569312312963452,0.9955797430083144,0.9319447580327908,0.02034966087347902,0.020989396648463242,0.02160501259577365,0.02777467733090646,0.005980679156016656,0.04351675286810823,0.011887033066390525,1.154391795888871,0.013705596060566561,-0.05041787484526026,0.020296508859359345
BC,MLP,0.9761152882205514,0.9726890331890332,0.9674897690700299,0.9936004260289973,0.9493192013455121,0.019764046593202297,0.01866616878839418,0.021410554111750656,0.025502065295957995,0.008070082010901128,0.0398049258226077,0.013744470852939334,0.5012500715442902,0.013933790490769479,0.8336430059647606,0.20029162201144507
BC,NB,0.9392105263157895,0.9304430014430015,0.9156301530068954,0.9872399848828419,0.8709134311737443,0.05608490812848803,0.026800204995655302,0.0335442334091171,0.03951104216994251,0.010753416924063475,0.05723831058498153,0.02474957737457385,0.25795977801915354,0.0016616457025452709,3.4063733721854113,0.09581036985006501
PIMA,LR,0.7577477785372524,0.7477219373219374,0.6727381255867576,0.8361595441595443,0.4878729873767934,0.1572555652407035,0.05468142551939601,0.05676436469955941,0.07119511964286364,0.04848656233783444,0.11213559864866629,0.02359478311372695,0.9461564244490862,0.014871153230085131,-0.00191621337329764,0.003468958800230575
PIMA,RF,0.7455126452494875,0.7547635327635328,0.6833255805396357,0.8263319088319088,0.49075876490496084,0.16001344976076554,0.051156124901562246,0.05080725739504768,0.058582319099113676,0.050779999301207086,0.09833148501440692,0.022959346421856725,0.9369081353873906,0.05455912619227893,-0.0183866406346261,0.01835440747731601
PIMA,XGB,0.7345522898154476,0.7236603988603989,0.6431609945659861,0.8041441595441594,0.43830524795457526,0.1964269462227821,0.05178386254793364,0.05605333141415891,0.06958196226009586,0.052924607813034194,0.10943784282670428,0.03535999273919743,0.3469354405151597,0.012619606709891807,0.0823035035429577,0.03448234227654579
PIMA,SVM,0.7507108680792891,0.7386159544159544,0.660957081744597,0.8297168091168092,0.47058318999762244,0.16262108751773066,0.05132456994735185,0.054416697815232444,0.06950198795227398,0.044321520002440426,0.10720659156002697,0.02249114702984939,1.0068424134634597,0.028126703601864905,-0.01357251666686746,0.00593123412802919
PIMA,MLP,0.7195215311004785,0.6969823361823362,0.6071572364176646,0.7652096866096868,0.3924238399554085,0.24672185739231112,0.053049647221403026,0.05594715053138103,0.0716534836884441,0.053929180371876426,0.11179519360182884,0.0449775141670964,0.1158911238099033,0.0032170012211333717,0.008396815434525183,0.0776197721806439
PIMA,NB,0.7374333561175667,0.7182501424501424,0.6335103038426699,0.8151897435897435,0.4348953173003657,0.18545871662771368,0.04579754786916982,0.049001758841484666,0.06473606566322468,0.048276299829105036,0.0953899833697257,0.0351476913979817,0.3904892913364629,0.006355943392266311,0.032752589234778424,0.007543038580941306
HEART,LR,0.833483870967742,0.8317352133160958,0.8146195012296237,0.9097369909502262,0.6709580067518597,0.11946425262290374,0.06736102331637141,0.06861426446754856,0.0758413666767692,0.054353482483127234,0.13602133877115824,0.04318820879062167,0.8303802260693564,0.025373451026682106,-0.01745616204989156,0.016938402228634686
HEART,RF,0.8228387096774193,0.8221634615384613,0.8069700333534836,0.9016079508726569,0.6509113132194945,0.12730290107526876,0.07299799061301557,0.07336605916475744,0.08109286576195951,0.058960835548657324,0.14613959176636604,0.033765310394271525,1.2278028095545073,0.02139458303567858,0.0037880966246782596,0.012846789522277541
HEART,XGB,0.7998494623655914,0.7972123464770523,0.77633822430713,0.8780914673561732,0.6053672584262356,0.160376650840044,0.06617571780587019,0.06662013586166105,0.07790099979997822,0.05682342098496941,0.13279092402616985,0.0554168220939534,0.406151417737665,0.027074650744600467,0.24317773106304666,0.08898850918498112
HEART,SVM,0.8301290322580647,0.830776906916613,0.8181903460153738,0.8895905381383322,0.6660005862797572,0.13192265529675354,0.07148206377818217,0.0719389611399871,0.07600706822524106,0.060365485563483035,0.14304529893576856,0.04052427179017405,0.9718934283078298,0.024614970101031114,-0.0121739014752024,0.012915487095265544
HEART,MLP,0.7832473118279569,0.7826761473820296,0.7656177649915534,0.8666523917259212,0.5734778370367986,0.19096795415173942,0.06351876657966164,0.06264557116873624,0.06597180862337285,0.06346604581935136,0.1269732486536666,0.057546441406624835,0.19067565017018787,0.005032830141352653,-0.054544351573385906,0.20047683219906529
HEART,NB,0.8153548387096775,0.8134587104072398,0.7945463364757025,0.8775517129928895,0.6329321241288279,0.15838514396463763,0.07900894145949677,0.08038422823621422,0.0935416901161052,0.07149976535220169,0.1591470053887817,0.06844416455108078,0.2126135017362243,0.003955816664272938,0.4648253404872579,0.14486821648825807
