dataset,model,design,R,n_repeats,tau_mean,tau_sd,tau_min,wtau_mean,wtau_sd,wtau_min,rbo_mean,rbo_sd,rbo_min,j5_mean,j5_sd,j5_min
BC,LR,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,LR,perm,20,50,0.9355111917725348,0.016284092574507233,0.8896551724137931,0.9527666906009786,0.014977073801960351,0.9071557113240849,0.9299615236834083,0.03182665271711346,0.8345185592441283,0.8122807017543858,0.16576848858174822,0.6666666666666666
BC,LR,both,20,50,0.9355111917725348,0.016284092574507233,0.8896551724137931,0.9527666906009786,0.014977073801960351,0.9071557113240849,0.9299615236834083,0.03182665271711346,0.8345185592441283,0.8122807017543858,0.16576848858174822,0.6666666666666666
BC,RF,model,20,50,0.5381246218995764,0.0782854313444444,0.3563218390804598,0.6953029963613625,0.08508826269119049,0.3712284467497071,0.709023935756451,0.08482208389213752,0.5372329844215981,0.5429197994987469,0.16687213951458074,0.25
BC,RF,perm,20,50,0.9357037970782291,0.017381624776032032,0.8850574712643677,0.9578481857380582,0.018320568481617037,0.886817039726705,0.9359062670631287,0.04722386973912884,0.7984704877532657,0.8087719298245615,0.16528247257149917,0.6666666666666666
BC,RF,both,20,50,0.5233635813672111,0.08505277713135435,0.3103448275862069,0.6757801384173932,0.09658201666592343,0.29341693436859784,0.6947590859897604,0.08960791837375341,0.504461596171319,0.5391604010025063,0.1713805339252201,0.25
BC,XGB,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,XGB,perm,20,50,0.9180862048401793,0.02830372898019541,0.8461538461538461,0.9577026366882616,0.013934819094689799,0.9170796533875484,0.9590777627560046,0.016556808788726757,0.920503735064569,0.7701754385964914,0.15464386533036392,0.6666666666666666
BC,XGB,both,20,50,0.9180862048401793,0.02830372898019541,0.8461538461538461,0.9577026366882616,0.013934819094689799,0.9170796533875484,0.9590777627560046,0.016556808788726757,0.920503735064569,0.7701754385964914,0.15464386533036392,0.6666666666666666
BC,SVM,model,20,50,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0
BC,SVM,perm,20,50,0.894432605781888,0.027971385185457977,0.8022988505747127,0.9259404957063794,0.02274000438601528,0.8448781284316742,0.9117041669475016,0.03399675854828145,0.8113473652043436,0.7543859649122807,0.14717026189611598,0.6666666666666666
BC,SVM,both,20,50,0.894432605781888,0.027971385185457977,0.8022988505747127,0.9259404957063794,0.02274000438601528,0.8448781284316742,0.9117041669475016,0.03399675854828145,0.8113473652043436,0.7543859649122807,0.14717026189611598,0.6666666666666666
