strategy,model,repeat,fold,ACC,BAL,F1,AUC,MCC,BRIER
median,LR,0,0,0.6623376623376623,0.6633333333333333,0.5806451612903226,0.8229629629629629,0.31304951684997057,0.15966050548178137
median,LR,0,1,0.7532467532467533,0.7333333333333334,0.6545454545454545,0.8214814814814815,0.4629100498862757,0.1690064133805226
median,LR,0,2,0.7532467532467533,0.7333333333333334,0.6545454545454545,0.8066666666666666,0.4629100498862757,0.1682398017294349
median,LR,0,3,0.8701298701298701,0.8488888888888889,0.8076923076923077,0.925925925925926,0.7110699774428061,0.11659336947781641
median,LR,0,4,0.8051948051948052,0.7988888888888889,0.7368421052631579,0.8207407407407408,0.5849208388379199,0.15750887672462308
median,LR,0,5,0.8441558441558441,0.8288888888888889,0.7777777777777778,0.8807407407407408,0.6577777777777778,0.1387390895894568
median,LR,0,6,0.7532467532467533,0.7162962962962962,0.6274509803921569,0.8266666666666667,0.44565871858907996,0.16328099365758872
median,LR,0,7,0.7792207792207793,0.778888888888889,0.711864406779661,0.8466666666666667,0.5400660110544787,0.15516151077618454
median,LR,0,8,0.7368421052631579,0.7815384615384615,0.7058823529411765,0.8823076923076923,0.5372486108055937,0.14417546242161694
median,LR,0,9,0.6578947368421053,0.6292307692307693,0.5185185185185185,0.7330769230769231,0.254195563720897,0.20110335298103432
median,LR,1,0,0.7012987012987013,0.6933333333333334,0.6101694915254238,0.7962962962962963,0.37438839013338365,0.17559473616087068
median,LR,1,1,0.7012987012987013,0.6933333333333334,0.6101694915254238,0.7577777777777777,0.37438839013338365,0.19995218625539896
median,LR,1,2,0.7662337662337663,0.7518518518518519,0.6785714285714286,0.8444444444444446,0.49604652413672967,0.14712816902690054
median,LR,1,3,0.7922077922077922,0.7803703703703704,0.7142857142857143,0.8637037037037036,0.5522164981933888,0.15027593884602983
median,LR,1,4,0.7272727272727273,0.6792592592592592,0.5714285714285714,0.8140740740740741,0.378691704962503,0.1748669832434248
median,LR,1,5,0.8181818181818182,0.8088888888888889,0.75,0.9007407407407408,0.6083864722500479,0.11302444548216013
median,LR,1,6,0.7402597402597403,0.7744444444444445,0.7058823529411765,0.8896296296296295,0.5249381604221485,0.13281894844262437
median,LR,1,7,0.7402597402597403,0.7233333333333334,0.6428571428571429,0.8022222222222223,0.4398765500800706,0.17380790812072022
median,LR,1,8,0.7368421052631579,0.7261538461538461,0.6428571428571429,0.78,0.43900160367219143,0.18415445498687766
median,LR,1,9,0.8157894736842105,0.8046153846153846,0.7407407407407407,0.8884615384615384,0.5991752573421144,0.13223809011928592
median,LR,2,0,0.8181818181818182,0.8088888888888889,0.75,0.8688888888888888,0.6083864722500479,0.1474858610565848
median,LR,2,1,0.7662337662337663,0.768888888888889,0.7,0.8637037037037038,0.5185449728701349,0.1506592468029153
median,LR,2,2,0.7402597402597403,0.7403703703703703,0.6666666666666666,0.7866666666666665,0.46354777877784786,0.16818586595516866
median,LR,2,3,0.6233766233766234,0.6333333333333333,0.5538461538461539,0.7585185185185186,0.2545139051903111,0.18836966120560564
median,LR,2,4,0.8051948051948052,0.7562962962962962,0.6808510638297872,0.8822222222222222,0.5578106278623646,0.14749070456414717
median,LR,2,5,0.7532467532467533,0.7674074074074073,0.6984126984126984,0.8340740740740741,0.5114782075908113,0.15807348069606425
median,LR,2,6,0.7922077922077922,0.7803703703703704,0.7142857142857143,0.8637037037037038,0.5522164981933888,0.1325922617367814
median,LR,2,7,0.8181818181818182,0.8088888888888889,0.75,0.914074074074074,0.6083864722500479,0.11790883628690477
median,LR,2,8,0.7236842105263158,0.6792307692307692,0.5714285714285714,0.8192307692307692,0.37017951980791003,0.1727101110582685
median,LR,2,9,0.7368421052631579,0.7446153846153847,0.6666666666666666,0.8038461538461539,0.46678977660158144,0.17578967748700916
median,LR,3,0,0.8181818181818182,0.8003703703703704,0.7407407407407407,0.8681481481481482,0.6007407407407407,0.1422343417154756
median,LR,3,1,0.7402597402597403,0.7403703703703703,0.6666666666666666,0.8237037037037037,0.46354777877784786,0.16584493427865024
