metric,a,b,p_left,p_rope,p_right,delta0_mean
AUC,LR,RF,0.16675,0.26575,0.5675,0.012363015902395778
AUC,LR,XGB,0.18425,0.1155,0.70025,0.03214085904132222
AUC,LR,SVM,0.28025,0.11225,0.6075,0.023305501193729775
AUC,LR,MLP,0.19625,0.07825,0.7255,0.0500822626605169
AUC,LR,NB,0.127,0.16125,0.71175,0.023589743319822467
AUC,RF,XGB,0.14725,0.2615,0.59125,0.015398983162405984
AUC,RF,SVM,0.27225,0.226,0.50175,0.009494790662544888
AUC,RF,MLP,0.18675,0.1015,0.71175,0.03777434507627427
AUC,RF,NB,0.114,0.5415,0.3445,0.007858243522431778
AUC,XGB,SVM,0.36575,0.32675,0.3075,-0.0016876552094510354
AUC,XGB,MLP,0.17675,0.20525,0.618,0.020373438696784155
AUC,XGB,NB,0.3895,0.369,0.2415,-0.006584091917930307
AUC,SVM,MLP,0.194,0.16075,0.64525,0.02314598149804538
AUC,SVM,NB,0.40825,0.19725,0.3945,-0.0018794516944179729
AUC,MLP,NB,0.631,0.122,0.247,-0.02790316408886381
MCC,LR,RF,0.102,0.3095,0.5885,0.023932657055699507
MCC,LR,XGB,0.09575,0.16025,0.744,0.04528273970523442
MCC,LR,SVM,0.18825,0.21625,0.5955,0.027853534440483683
MCC,LR,MLP,0.1715,0.12975,0.69875,0.06331065083163162
MCC,LR,NB,0.055,0.0975,0.8475,0.04947102883728341
MCC,RF,XGB,0.1595,0.34,0.5005,0.020232505934188762
MCC,RF,SVM,0.2225,0.34225,0.43525,0.010157904853967076
MCC,RF,MLP,0.23775,0.152,0.61025,0.04021846017850006
MCC,RF,NB,0.12775,0.31475,0.5575,0.028444760245037094
MCC,XGB,SVM,0.3495,0.3965,0.254,-0.012800223020333974
MCC,XGB,MLP,0.1865,0.3515,0.462,0.018072004248867367
MCC,XGB,NB,0.335,0.27525,0.38975,0.0014201533402392764
MCC,SVM,MLP,0.24225,0.21775,0.54,0.031348622887444125
MCC,SVM,NB,0.2785,0.21325,0.50825,0.01959015491580447
MCC,MLP,NB,0.4755,0.16475,0.35975,-0.01763497010847257
BRIER,LR,RF,0.107,0.4195,0.4735,0.005738891355804934
BRIER,LR,XGB,0.19625,0.099,0.70475,0.020733142685690712
BRIER,LR,SVM,0.08175,0.6185,0.29975,0.0037418664720281687
BRIER,LR,MLP,0.18625,0.02925,0.7845,0.05365004494027592
BRIER,LR,NB,0.049,0.02325,0.92775,0.03903799462849605
BRIER,RF,XGB,0.26875,0.1105,0.62075,0.01495198693108168
BRIER,RF,SVM,0.295,0.49575,0.20925,-0.0015979496606487325
BRIER,RF,MLP,0.21225,0.037,0.75075,0.04783450669189371
BRIER,RF,NB,0.06675,0.03975,0.8935,0.03446881853036693
BRIER,XGB,SVM,0.6825,0.13525,0.18225,-0.016194866877952366
BRIER,XGB,MLP,0.21025,0.06175,0.728,0.030606700185317234
BRIER,XGB,NB,0.2695,0.08375,0.64675,0.018492816390949386
BRIER,SVM,MLP,0.185,0.03725,0.77775,0.04641515094037993
BRIER,SVM,NB,0.068,0.03075,0.90125,0.03419226317113433
BRIER,MLP,NB,0.56375,0.06375,0.3725,-0.016523435934688784
