config,metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
default,AUC,BC,LR,RF,0.005837456194599011,1.1068666834531469,0.2970570774731318,0.007423152307382026,0.767569050241248,0.22500779745137,1.0
default,AUC,BC,LR,XGB,0.0018412011269153706,0.8048325011274216,0.44165822132562743,0.00029016859032336543,0.9966893856927749,0.0030204457169017603,1.0
default,AUC,BC,LR,SVM,0.0011784511784511675,0.6263515426182029,0.5466402006678102,0.00010841044285541827,0.9993244347228998,0.0005671548342449017,1.0
default,AUC,BC,LR,MLP,0.0019721019721019584,1.618018665037943,0.1401124874675177,2.067375633767499e-06,0.9999477145660919,5.021805827436875e-05,1.0
default,AUC,BC,LR,NB,0.012651515151515146,1.4701874110915503,0.17558414975725384,0.013598729618067443,0.368843311485226,0.6175579588967066,1.0
default,AUC,BC,RF,XGB,-0.003996255067683641,-1.0000246970598174,0.3434250785668158,0.08352540439883208,0.9131351227826254,0.003339472818542534,1.0
default,AUC,BC,RF,SVM,-0.004659005016147843,-1.1582980128004738,0.2765539856599274,0.10835067399015452,0.8889753015986527,0.0026740244111928034,1.0
default,AUC,BC,RF,MLP,-0.0038653542224970526,-0.8571802207088801,0.4135872962928641,0.10328934894927277,0.8901019028913187,0.006608748159408482,1.0
default,AUC,BC,RF,NB,0.006814058956916136,0.9807730157106053,0.3523321900289597,0.019262494018798357,0.6521093099184907,0.32862819606271093,1.0
default,AUC,BC,XGB,SVM,-0.000662749948464203,-1.281364603258349,0.23209333649960176,1.1132581894604433e-08,0.9999999854087878,3.4586303708230644e-09,1.0
default,AUC,BC,XGB,MLP,0.00013090084518658786,0.08283750305985238,0.9357938957228236,6.158637500138348e-05,0.999863474395073,7.493922992561033e-05,1.0
default,AUC,BC,XGB,NB,0.010810314024599777,1.4885813752342723,0.17077662484041647,0.009282807139870461,0.4474976135033927,0.5432195793567368,1.0
default,AUC,BC,SVM,MLP,0.0007936507936507908,0.6496411193158076,0.5321523112207062,4.9441299138226666e-06,0.9999773441528923,1.7711717193897522e-05,1.0
default,AUC,BC,SVM,NB,0.011473063973063979,1.5559707852883242,0.15413897690612277,0.008604193373780497,0.4144051250601646,0.5769906815660549,1.0
default,AUC,BC,MLP,NB,0.010679413179413188,1.3393868464906908,0.2132838472262542,0.014489906958051172,0.45247295523044506,0.5330371378115037,1.0
default,AUC,PIMA,LR,RF,0.013767806267806248,1.0132945729762735,0.33738446645937464,0.05696671674200634,0.3368594007829261,0.6061738824750675,1.0
default,AUC,PIMA,LR,XGB,0.03586039886039886,2.999724926635074,0.014963036569111993,0.001985856423180451,0.02731458013482002,0.9706995634419995,0.1795564388293439
default,AUC,PIMA,LR,SVM,0.012259259259259248,1.313902379681431,0.2213811595480099,0.020362571677116297,0.3866180840648805,0.5930193442580032,1.0
default,AUC,PIMA,LR,MLP,0.08983475783475786,5.4653631636080355,0.00039764611579520197,9.200862732943194e-05,0.00035548524694861694,0.999552506125722,0.005567045621132827
default,AUC,PIMA,LR,NB,0.023176638176638165,2.334176772932516,0.044442109177693916,0.004303681069808374,0.10412164102188937,0.8915746779083022,0.3555368734215513
default,AUC,PIMA,RF,XGB,0.022092592592592608,2.7078352854221777,0.024082707411405224,0.0017120326049847655,0.08436202935395343,0.9139259380410618,0.21674436670264702
default,AUC,PIMA,RF,SVM,-0.001508547008547001,-0.1451127948701417,0.8878196587642159,0.21738944813939187,0.634292320691434,0.1483182311691741,1.0
default,AUC,PIMA,RF,MLP,0.07606695156695162,4.773143140323487,0.0010109145399042584,0.00021516340115194016,0.0010292345931259828,0.9987556020057221,0.013141889018755359
default,AUC,PIMA,RF,NB,0.009408831908831915,0.5008502560514204,0.6284960525662939,0.1640695699792997,0.34814856036080627,0.48778186965989406,1.0
default,AUC,PIMA,XGB,SVM,-0.02360113960113961,-2.3236523559955358,0.045214632013943205,0.893472832404945,0.10199043592940278,0.004536731665652197,0.3555368734215513
default,AUC,PIMA,XGB,MLP,0.053974358974359,2.8735090721580905,0.018371321652461362,0.003884105297578397,0.0180214664631686,0.978094428239253,0.19039310605471102
default,AUC,PIMA,XGB,NB,-0.012683760683760693,-0.7262874291306465,0.48612089130775027,0.5594166570591337,0.32761184563239865,0.11297149730846769,1.0
default,AUC,PIMA,SVM,MLP,0.07757549857549861,6.2251339730227135,0.0001541501596147605,3.0496108337220316e-05,0.00017855986206349872,0.9997909440295992,0.002312252394221407
default,AUC,PIMA,SVM,NB,0.010917378917378918,0.6326093711879629,0.5427249026913773,0.12800569851345656,0.3513623745117955,0.5206319269747479,1.0
default,AUC,PIMA,MLP,NB,-0.0666581196581197,-2.91009887502958,0.01730846418679191,0.9823720657339913,0.013360859441459814,0.004267074824548913,0.19039310605471102
default,AUC,HEART,LR,RF,0.0003565368455074491,0.051494288491963094,0.9600564503633229,0.08318046050221661,0.8196231693595506,0.09719637013823273,1.0
default,AUC,HEART,LR,XGB,0.0330357142857143,1.5399186188666614,0.1579660408498993,0.037085159815197485,0.11681422926809237,0.8461006109167102,1.0
default,AUC,HEART,LR,SVM,0.009607304460245658,0.9100143207164987,0.3865373762739939,0.04716728301383603,0.4673599254648406,0.4854727915213234,1.0
