dataset,level,model,unit,top5_count
BC,feature,LR,worst_texture,25
BC,feature,LR,worst_radius,22
BC,feature,LR,radius_error,20
BC,feature,LR,worst_concave_points,18
BC,feature,LR,worst_area,12
BC,feature,LR,mean_concave_points,11
BC,feature,LR,worst_perimeter,10
BC,feature,LR,worst_concavity,7
BC,feature,LR,compactness_error,6
BC,feature,LR,mean_concavity,6
BC,feature,LR,worst_smoothness,6
BC,feature,LR,perimeter_error,2
BC,feature,LR,area_error,2
BC,feature,LR,fractal_dimension_error,1
BC,feature,LR,worst_symmetry,1
BC,feature,LR,worst_fractal_dimension,1
BC,feature,RF,worst_perimeter,30
BC,feature,RF,worst_radius,30
BC,feature,RF,worst_concave_points,30
BC,feature,RF,mean_concave_points,27
BC,feature,RF,worst_area,24
BC,feature,RF,mean_concavity,7
BC,feature,RF,mean_area,1
BC,feature,RF,mean_perimeter,1
BC,feature,XGB,worst_concave_points,27
BC,feature,XGB,worst_area,25
BC,feature,XGB,worst_perimeter,24
BC,feature,XGB,mean_concave_points,24
BC,feature,XGB,area_error,14
BC,feature,XGB,worst_texture,12
BC,feature,XGB,mean_texture,9
BC,feature,XGB,worst_concavity,8
BC,feature,XGB,worst_radius,5
BC,feature,XGB,mean_area,1
BC,feature,XGB,worst_smoothness,1
BC,group,LR,{mean_radius+mean_perimeter+mean_area+worst_radius+worst_perimeter+worst_area},30
BC,group,LR,{mean_compactness+mean_concavity+mean_concave_points+worst_compactness+worst_concavity+worst_concave_points},30
BC,group,LR,{radius_error+perimeter_error+area_error},30
BC,group,LR,{mean_texture+worst_texture},29
BC,group,LR,{compactness_error+concavity_error},12
BC,group,LR,worst_smoothness,7
BC,group,LR,worst_symmetry,6
BC,group,LR,fractal_dimension_error,4
BC,group,LR,texture_error,1
BC,group,LR,worst_fractal_dimension,1
BC,group,RF,{mean_radius+mean_perimeter+mean_area+worst_radius+worst_perimeter+worst_area},30
BC,group,RF,{mean_compactness+mean_concavity+mean_concave_points+worst_compactness+worst_concavity+worst_concave_points},30
BC,group,RF,{radius_error+perimeter_error+area_error},30
BC,group,RF,{mean_texture+worst_texture},30
BC,group,RF,worst_smoothness,21
BC,group,RF,worst_fractal_dimension,6
BC,group,RF,worst_symmetry,2
BC,group,RF,mean_smoothness,1
BC,group,XGB,{mean_radius+mean_perimeter+mean_area+worst_radius+worst_perimeter+worst_area},30
BC,group,XGB,{mean_compactness+mean_concavity+mean_concave_points+worst_compactness+worst_concavity+worst_concave_points},30
BC,group,XGB,{mean_texture+worst_texture},30
BC,group,XGB,{radius_error+perimeter_error+area_error},27
BC,group,XGB,worst_smoothness,10
BC,group,XGB,{compactness_error+concavity_error},9
BC,group,XGB,worst_symmetry,7
BC,group,XGB,symmetry_error,4
BC,group,XGB,concave_points_error,1
BC,group,XGB,mean_smoothness,1
BC,group,XGB,fractal_dimension_error,1
PIMA,feature,LR,glucose,30
PIMA,feature,LR,bmi,30
PIMA,feature,LR,pregnancies,30
PIMA,feature,LR,pedigree,24
PIMA,feature,LR,age,16
PIMA,feature,LR,blood_pressure,9
PIMA,feature,LR,skin_thickness,6
PIMA,feature,LR,insulin,5
PIMA,feature,RF,glucose,30
PIMA,feature,RF,age,30
PIMA,feature,RF,bmi,30
PIMA,feature,RF,pedigree,27
PIMA,feature,RF,pregnancies,22
PIMA,feature,RF,insulin,9
PIMA,feature,RF,skin_thickness,2
PIMA,feature,XGB,glucose,30
PIMA,feature,XGB,bmi,30
PIMA,feature,XGB,age,30
PIMA,feature,XGB,pedigree,30
PIMA,feature,XGB,pregnancies,13
PIMA,feature,XGB,blood_pressure,13
PIMA,feature,XGB,insulin,2
PIMA,feature,XGB,skin_thickness,2
PIMA,group,LR,glucose,30
PIMA,group,LR,bmi,30
PIMA,group,LR,pregnancies,30
PIMA,group,LR,pedigree,24
PIMA,group,LR,age,16
PIMA,group,LR,blood_pressure,9
PIMA,group,LR,skin_thickness,6
PIMA,group,LR,insulin,5
PIMA,group,RF,glucose,30
PIMA,group,RF,age,30
PIMA,group,RF,bmi,30
PIMA,group,RF,pedigree,27
PIMA,group,RF,pregnancies,22
PIMA,group,RF,insulin,9
PIMA,group,RF,skin_thickness,2
PIMA,group,XGB,glucose,30
PIMA,group,XGB,bmi,30
PIMA,group,XGB,age,30
PIMA,group,XGB,pedigree,30
PIMA,group,XGB,pregnancies,13
PIMA,group,XGB,blood_pressure,13
PIMA,group,XGB,insulin,2
PIMA,group,XGB,skin_thickness,2
HEART,feature,LR,ca,29
HEART,feature,LR,cp_asymptomatic,29
HEART,feature,LR,sex,26
HEART,feature,LR,thal_reversible,25
HEART,feature,LR,slope_flat,15
HEART,feature,LR,exang,6
HEART,feature,LR,thalach,6
HEART,feature,LR,oldpeak,6
HEART,feature,LR,trestbps,3
HEART,feature,LR,restecg_lvh,3
HEART,feature,LR,cp_atypical,1
HEART,feature,LR,cp_nonanginal,1
HEART,feature,RF,ca,30
HEART,feature,RF,thal_reversible,29
HEART,feature,RF,cp_asymptomatic,29
HEART,feature,RF,oldpeak,25
HEART,feature,RF,thalach,16
HEART,feature,RF,exang,9
HEART,feature,RF,slope_flat,4
HEART,feature,RF,sex,3
HEART,feature,RF,cp_nonanginal,3
HEART,feature,RF,age,1
HEART,feature,RF,chol,1
HEART,feature,XGB,ca,29
