metric,dataset,a,b,mean_diff,t,p,P_b_better,P_rope,P_a_better,p_holm
AUC,BC,LR,RF,0.004481412767127064,1.0723856106853773,0.28880017468869523,0.0005505510387998523,0.9032415825492541,0.09620786641194601,1.0
AUC,BC,LR,XGB,0.0013542224970796467,0.5636436399543904,0.5755672895653133,9.709214825562067e-06,0.9996215894689198,0.00036870131625460874,1.0
AUC,BC,LR,SVM,-0.0008457362743077112,-0.5457177861418365,0.5877358757962994,1.599948978774509e-07,0.9999998367361894,3.2689127237712775e-09,1.0
AUC,BC,LR,MLP,0.0011335807050092627,0.8925357375343623,0.3764682852576608,6.432297687376891e-12,0.99999999651727,3.476297720296263e-09,1.0
AUC,BC,LR,NB,0.007494021851164705,1.8225067027463733,0.07448317165693236,4.6506111979349436e-05,0.7275951285474702,0.2723583653405505,1.0
AUC,BC,RF,XGB,-0.0031271902700474173,-1.2464143001895722,0.21853825418109687,0.004255709976272065,0.9957425792598893,1.7107638385450893e-06,1.0
AUC,BC,RF,SVM,-0.0053271490414347755,-1.4434430111238696,0.15525892388926177,0.10553636850812692,0.894398988120485,6.464337138798923e-05,1.0
AUC,BC,RF,MLP,-0.0033478320621178016,-0.8321216818142624,0.40937745795596053,0.052178695731944426,0.946969844364305,0.0008514599037505913,1.0
AUC,BC,RF,NB,0.003012609084037641,0.8595459166578621,0.3942252316464654,0.00025991466423151677,0.9739450440919731,0.02579504124379538,1.0
AUC,BC,XGB,SVM,-0.002199958771387358,-1.1050507273112027,0.27453423628629414,0.00013697807306382753,0.9998629489979998,7.292893640539537e-08,1.0
AUC,BC,XGB,MLP,-0.00022064179207038404,-0.08835487643522973,0.9299547494138098,0.0001378050939817327,0.999783701246908,7.849365911029302e-05,1.0
AUC,BC,XGB,NB,0.006139799354085058,1.783531511127712,0.08069377345488682,1.101444147825993e-05,0.8663795639048962,0.13360942165362552,1.0
AUC,BC,SVM,MLP,0.001979316979316974,1.0767282708359345,0.28687443606879437,1.825589224739848e-08,0.9999674147101743,3.2567033933490886e-05,1.0
AUC,BC,SVM,NB,0.008339758125472416,2.4379249285708955,0.01844537138170542,1.0918120552161303e-06,0.6853380477651925,0.3146608604227524,0.2766805707255813
AUC,BC,MLP,NB,0.0063604411461554424,1.4623779615447576,0.1500223252342419,0.0002234812737589724,0.7965850615638262,0.20319145716241482,1.0
AUC,PIMA,LR,RF,0.009827635327635342,0.9096529248134196,0.36745849137080294,0.036101121397915666,0.4702387800573019,0.49366009854478243,1.0
AUC,PIMA,LR,XGB,0.032015384615384626,2.1614428846863607,0.035574574091847465,0.0032756048358255413,0.06828553688521177,0.9284388582789627,0.33190808002976835
AUC,PIMA,LR,SVM,0.006442735042735042,0.8707054963437563,0.3881608495126106,0.01536271266923667,0.6684274478892538,0.31620983944150954,1.0
AUC,PIMA,LR,MLP,0.07094985754985755,4.233882071696131,0.00010060153000617123,6.759523288886462e-06,0.0003195324182767578,0.9996737080584344,0.0014084214200863973
AUC,PIMA,LR,NB,0.020969800569800592,2.527808726244132,0.014751960327103771,0.00024282028887379794,0.09558410816045315,0.9041730715506731,0.1622715635981415
AUC,PIMA,RF,XGB,0.022187749287749293,2.191605556265736,0.033190808002976836,0.0012651534678443023,0.11566788807544348,0.8830669584567122,0.33190808002976835
AUC,PIMA,RF,SVM,-0.0033849002849003005,-0.4199954835930879,0.6763247423788791,0.20758530018340107,0.7410484548813178,0.05136624493528123,1.0
AUC,PIMA,RF,MLP,0.06112222222222222,3.5407289182087136,0.0008860362083356187,7.153397473563592e-05,0.002260594351813916,0.9976678716734505,0.011518470708363043
AUC,PIMA,RF,NB,0.011142165242165245,0.9953471526673185,0.3244575149638284,0.0322735933531919,0.42725110144605116,0.5404753052007569,1.0
AUC,PIMA,XGB,SVM,-0.025572649572649594,-2.037895279148456,0.04697783829133305,0.8900193972664496,0.10668938174754815,0.0032912209860022183,0.3758227063306644
AUC,PIMA,XGB,MLP,0.03893447293447292,1.9985296231500338,0.0512234948819717,0.007618444779704012,0.0640866466851755,0.9282949085351205,0.3758227063306644
AUC,PIMA,XGB,NB,-0.011045584045584044,-0.7121628893121754,0.47974124138663665,0.5267694614997935,0.38297899198638435,0.0902515465138221,1.0
AUC,PIMA,SVM,MLP,0.06450712250712251,4.363221154414923,6.590078182021068e-05,3.305200001387141e-06,0.00027689204981362625,0.999719802750185,0.0009885117273031603
AUC,PIMA,SVM,NB,0.014527065527065546,1.4880312313997643,0.14315043351975978,0.007608666606693851,0.3146419226363162,0.6777494107569899,0.8589026011185588
AUC,PIMA,MLP,NB,-0.049980056980056975,-2.643282641728542,0.010995487182439138,0.9803197895964797,0.018388722106811986,0.0012914882967083182,0.13194584618926966
AUC,HEART,LR,RF,0.008129040077569477,0.6267155730901737,0.5337548586431727,0.0820126716721556,0.4756516709645709,0.44233565736327346,1.0
AUC,HEART,LR,XGB,0.03164552359405301,2.426326628602435,0.01897834982366249,0.0011139238170475175,0.048782287923293643,0.9501037882596588,0.2656968975312749
AUC,HEART,LR,SVM,0.020146452811893995,1.7569961739032938,0.08516560443838139,0.0052979152641079615,0.18242058347186252,0.8122815012640295,0.9368216488221953
AUC,HEART,LR,MLP,0.0430845992243051,2.5031705358136325,0.01569108070103611,0.0015244442290011095,0.02736027932227969,0.9711152764487192,0.23536621051554166
AUC,HEART,LR,NB,0.032185277957336764,1.684406460744222,0.09846350575534511,0.015120452470599965,0.10798332040653547,0.8768962271228645,0.9846350575534512
AUC,HEART,RF,XGB,0.023516483516483534,2.126336256175755,0.038537527922958795,0.0017754400011741013,0.10951033582263181,0.8887142241761941,0.46245033507550554
AUC,HEART,RF,SVM,0.01201741273432452,1.0232152184226158,0.31123130975559493,0.03200073469758635,0.39943333527722347,0.5685659300251902,1.0
AUC,HEART,RF,MLP,0.03495555914673562,2.274364092411122,0.027359013002851124,0.002386169820120844,0.0511802584987302,0.9464335716811489,0.35566716903706463
AUC,HEART,RF,NB,0.024056237879767284,1.4462083161715125,0.1544853552529826,0.02189218641262472,0.17668465489902552,0.8014231586883498,1.0
AUC,HEART,XGB,SVM,-0.011499070782159013,-0.7953433109552152,0.4302497965977852,0.541522429496488,0.38886572691641463,0.0696118435870974,1.0
AUC,HEART,XGB,MLP,0.011439075630252088,0.787748318318536,0.4346381586997017,0.07100161631940465,0.38930492572610065,0.5396934579544947,1.0
AUC,HEART,XGB,NB,0.0005397543632837509,0.02915618511370945,0.9768584553884723,0.2837913316392683,0.41231566341503345,0.30389300494569826,1.0
AUC,HEART,SVM,MLP,0.0229381464124111,1.580332973372718,0.12046499257716944,0.013061476596841265,0.17292402129983475,0.8140145021033239,1.0
AUC,HEART,SVM,NB,0.012038825145442765,0.7172313621801819,0.47663663532844697,0.09529071550642178,0.3560996548521671,0.5486096296414111,1.0
AUC,HEART,MLP,NB,-0.010899321266968338,-0.5580918811852903,0.5793228502932039,0.5184688782384455,0.33919984484347304,0.1423312769180815,1.0
AUC,D130,LR,RF,0.04157515143470695,3.6807774406577543,0.000578868384480978,1.6818425695331362e-05,0.0036734983094489637,0.9963096832648557,0.004630947075847824
AUC,D130,LR,XGB,0.06538246256485011,6.5154147507931155,3.7381890927906894e-08,5.36406203378167e-10,6.383282240562949e-07,0.9999993611353697,4.859645820627896e-07
AUC,D130,LR,SVM,0.091612059725406,7.059779869624946,5.360246570658388e-09,1.7370368595534548e-10,4.169265821474255e-08,0.9999999581336381,8.040369855987582e-08
AUC,D130,LR,MLP,0.10500026990363084,6.819114074889571,1.264792534751454e-08,6.256920816306323e-10,6.342676250881141e-08,0.9999999359475454,1.7707095486520355e-07
AUC,D130,LR,NB,0.041181726691709566,6.324500445526033,7.383032192947459e-08,1.5632671004598415e-10,7.950113551036253e-06,0.9999920497301222,8.859638631536951e-07
AUC,D130,RF,XGB,0.023807311130143175,2.4390675631490306,0.018393601199974956,0.0005582260190680992,0.08120163621939269,0.9182401377615392,0.09196800599987479
AUC,D130,RF,SVM,0.050036908290699046,3.903119369528632,0.0002900538974041268,1.1357704047441666e-05,0.0014897454929493348,0.9984988968030032,0.002610485076637141
AUC,D130,RF,MLP,0.06342511846892389,4.44770222523947,4.9868473200595316e-05,2.3161870984243173e-06,0.0002341268002685748,0.999763557012633,0.0005485532052065485
AUC,D130,RF,NB,-0.0003934247429973814,-0.03262251914828621,0.974108135566113,0.21477151032322012,0.5887350375836711,0.1964934520931088,0.974108135566113
AUC,D130,XGB,SVM,0.026229597160555868,2.149889540761739,0.036526771251054205,0.0023036944697178777,0.09249398619709459,0.9052023193331875,0.10958031375316261
AUC,D130,XGB,MLP,0.03961780733878071,3.0743159810566385,0.0034439105901041727,0.00017116961650785726,0.012753887139562936,0.9870749432439292,0.020663463540625038
AUC,D130,XGB,NB,-0.024200735873140564,-2.3462292016964184,0.023053626126262695,0.912574952543918,0.08656182323049608,0.0008632242255859587,0.09221450450505078
AUC,D130,SVM,MLP,0.013388210178224853,0.9959082998202726,0.32418752479409846,0.044088185673288725,0.3569444923352345,0.5989673219914767,0.6483750495881969
AUC,D130,SVM,NB,-0.050430333033696415,-3.40930963348498,0.0013115705194098647,0.9956501764510577,0.004268552210890371,8.127133805193988e-05,0.009180993635869054
AUC,D130,MLP,NB,-0.06381854321192128,-4.131034248481772,0.00014034388717093025,0.9994743561021048,0.0005174083847015575,8.235513193665195e-06,0.0014034388717093025
MCC,BC,LR,RF,0.024185544139992982,1.2712638230285573,0.2096364679853527,0.012144942651757654,0.401175381514291,0.5866796758339513,1.0
MCC,BC,LR,XGB,0.01060368412515864,0.533235119462951,0.5962812958967212,0.0649649985090899,0.6158464528685833,0.3191885486223268,1.0
MCC,BC,LR,SVM,0.01036047049111266,0.641070195817358,0.5244642906201508,0.03301918522633766,0.690337639634694,0.2766431751389684,1.0
